gmap_id,name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
7779481124,Villa Monte,Desconocida,Sin descripción,40.5165995,-74.2344838,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779481126,W's Bar and Grill,Desconocida,Sin descripción,40.5165016,-74.2343694,['restaurant'],,,,,"{'cuisine': None, 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779637973,Peking Taste,Desconocida,Sin descripción,40.5175517,-74.2357351,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779637984,Campania,Desconocida,Sin descripción,40.5180762,-74.235426,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779641486,Mizu Hibachi Steakhouse,Desconocida,Sin descripción,40.51812,-74.2352119,['restaurant'],,,,,"{'cuisine': 'japanese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779637984,Campania,Desconocida,Sin descripción,40.5180762,-74.235426,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7779641486,Mizu Hibachi Steakhouse,Desconocida,Sin descripción,40.51812,-74.2352119,['restaurant'],,,,,"{'cuisine': 'japanese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
2523856227,Yaho Sushi,Page Avenue 51,Sin descripción,40.5231435,-74.2345148,['restaurant'],,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 12:00-22:00","{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://yahosushi.com/'}",NY,,https://yahosushi.com/
7781914558,Oishi,Page Avenue 17,Sin descripción,40.5239833,-74.2344093,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://oishiny.com/'}",NY,,https://oishiny.com/
7781914561,Tutto Apposto,Page Avenue 31,Sin descripción,40.5236614,-74.2344803,['restaurant'],,,,"Mo off; Tu-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 11:00-20:00","{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://tuttoappostosi.com/'}",NY,,https://tuttoappostosi.com/
7781914565,Laila,Page Avenue 45,Sin descripción,40.5232417,-74.2344915,['restaurant'],,,,Mo off; Tu-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-21:00,"{'cuisine': 'mediterranean', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://www.lailarestaurant.com/'}",NY,,https://www.lailarestaurant.com/
7781914570,Page Plaza Diner,Page Avenue 75,Sin descripción,40.5224979,-74.2345875,['restaurant'],,,,24/7,"{'cuisine': None, 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': 'https://pageplazarestaurant.com/'}",NY,,https://pageplazarestaurant.com/
